month,역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
1,대치역,하차,21074,35423,8635,64020,82863,85996,21080.0,36671.0,12094.0,1.0,50.0,12.0,367919.0
1,대흥역,승차,1209,6110,5143,53952,70644,63640,12874.0,26791.0,5867.0,5.0,32.0,16.0,246283.0
1,대흥역,하차,2506,7632,2702,66027,64380,67574,13917.0,24674.0,6869.0,2.0,21.0,13.0,256317.0
1,도곡역,승차,831,2292,1406,31591,45745,37986,6142.0,15797.0,3688.0,1.0,8.0,12.0,145499.0
1,도곡역,하차,1166,2805,1421,52494,35208,34586,8820.0,13097.0,3203.0,4.0,14.0,4.0,152822.0
1,도림천역,승차,499,1998,386,10028,9629,6546,2324.0,3973.0,960.0,0.0,1.0,2.0,36346.0
1,도림천역,하차,549,1502,526,9106,8055,10770,2826.0,3985.0,1504.0,1.0,1.0,3.0,38828.0
1,도봉산역,승차,2191,3295,736,130602,46623,19006,17715.0,23959.0,3149.0,0.0,1.0,1.0,247278.0
1,도봉산역,하차,405,3025,4260,27737,57006,134104,16163.0,35995.0,12742.0,3.0,3.0,2.0,291445.0
1,독립문역,승차,1971,6988,1714,48984,53858,29501,21115.0,40471.0,6559.0,9.0,59.0,9.0,211238.0
1,독립문역,하차,1596,5634,3032,45404,42625,49252,20914.0,36877.0,10492.0,25.0,61.0,9.0,215921.0
1,독바위역,승차,1089,2102,525,36020,14592,5558,9229.0,9854.0,1548.0,0.0,5.0,0.0,80522.0
1,독바위역,하차,159,1148,1503,5739,13861,37816,4753.0,13623.0,6649.0,0.0,2.0,0.0,85253.0
1,돌곶이역,승차,2064,3280,902,118326,65708,35348,23723.0,34663.0,7527.0,3.0,11.0,8.0,291563.0
1,돌곶이역,하차,493,2538,2373,36378,55744,106005,17592.0,35312.0,12034.0,1.0,9.0,4.0,268483.0
1,동대문역,승차,1410,14079,4628,88839,308051,195763,40313.0,184767.0,41513.0,439.0,2512.0,2071.0,884385.0
1,동대문역,하차,2714,15635,2594,225111,249736,129975,84815.0,156042.0,21667.0,519.0,3314.0,2936.0,895058.0
1,동대문역사문화공원역,승차,2408,18332,8617,100489,351656,377539,16408.0,82101.0,30373.0,2583.0,6856.0,5127.0,1002489.0
1,동대문역사문화공원역,하차,5672,17239,5973,318439,300495,216316,49285.0,67278.0,10809.0,892.0,5896.0,7559.0,1005853.0
1,동대입구역,승차,514,3219,2683,25194,90367,113940,5437.0,22540.0,8684.0,196.0,610.0,258.0,273642.0
1,동대입구역,하차,1062,4845,1362,111817,94641,42508,16276.0,20478.0,3797.0,80.0,569.0,360.0,297795.0
1,동묘앞역,승차,1062,9531,2415,77125,146607,74406,23654.0,170880.0,21076.0,372.0,798.0,232.0,528158.0
1,동묘앞역,하차,1454,10201,2071,80006,129163,100688,45655.0,154425.0,12094.0,81.0,512.0,652.0,537002.0
1,동작역,승차,74,291,140,4749,10032,8061,2835.0,7788.0,1204.0,4.0,20.0,11.0,35209.0
1,동작역,하차,69,328,192,11061,7945,7691,4756.0,6582.0,931.0,2.0,20.0,14.0,39591.0
1,둔촌동역,승차,1380,4875,2924,70519,64805,43826,19963.0,38845.0,9534.0,4.0,68.0,13.0,256756.0
1,둔촌동역,하차,775,4426,3181,49257,53285,78099,17552.0,39378.0,12208.0,16.0,66.0,13.0,258256.0
1,디지털미디어시티역,승차,2877,5491,1403,151003,100105,93610,23915.0,29674.0,6714.0,24.0,38.0,11.0,414865.0
1,디지털미디어시티역,하차,774,5095,5729,147585,83529,152509,15006.0,31862.0,13992.0,5.0,24.0,66.0,456176.0
1,뚝섬역,승차,1513,10583,5624,70329,222252,326691,14992.0,34093.0,10731.0,22.0,511.0,326.0,697667.0
1,뚝섬역,하차,3020,11692,3167,329609,214549,111948,23700.0,28071.0,8314.0,85.0,515.0,115.0,734785.0
1,마곡역,승차,3005,6690,3221,67629,113634,103442,15582.0,27125.0,5684.0,6.0,35.0,8.0,346061.0
1,마곡역,하차,993,6819,5341,138253,72736,76526,15187.0,23420.0,8406.0,11.0,21.0,9.0,347722.0
1,마들역,승차,2552,5312,2400,172245,69546,26022,37974.0,46411.0,6342.0,2.0,8.0,1.0,368815.0
1,마들역,하차,845,4811,3632,23016,67734,156920,16721.0,51769.0,20954.0,0.0,1.0,3.0,346406.0
1,마장역,승차,966,2524,733,51332,40240,28874,13052.0,26996.0,5261.0,2.0,110.0,169.0,170259.0
1,마장역,하차,442,1606,1553,28671,34258,49018,13667.0,24085.0,6667.0,7.0,194.0,123.0,160291.0
1,마천역,승차,2445,3925,916,95201,35272,18180,27876.0,26826.0,4380.0,0.0,9.0,3.0,215033.0
1,마천역,하차,316,3060,3901,18630,34018,78616,11743.0,32534.0,15474.0,0.0,2.0,2.0,198296.0
1,마포구청역,승차,2229,5079,2170,138798,102040,81273,30952.0,40144.0,8719.0,8.0,55.0,37.0,411504.0
1,마포구청역,하차,1111,4711,3257,72862,84507,134570,17650.0,40462.0,15148.0,6.0,57.0,17.0,374358.0
1,마포역,승차,2168,3852,1571,95809,117644,139469,16959.0,36891.0,11006.0,224.0,553.0,174.0,426320.0
1,마포역,하차,669,3555,3089,146400,100410,117217,19083.0,35238.0,10756.0,17.0,263.0,496.0,437193.0
1,망원역,승차,1748,6552,3960,94695,125214,134029,23149.0,48633.0,9354.0,24.0,309.0,96.0,447763.0
1,망원역,하차,1081,8325,3385,85168,165127,131488,18174.0,54231.0,12762.0,63.0,305.0,104.0,480213.0
1,매봉역,승차,1134,4077,2076,55378,98395,124947,19320.0,42378.0,10467.0,0.0,10.0,8.0,358190.0
1,매봉역,하차,1147,3614,2359,143716,65318,62144,22961.0,34704.0,9905.0,3.0,2.0,6.0,345879.0
1,먹골역,승차,1876,4609,1694,115440,66807,39157,26012.0,34544.0,7633.0,0.0,1.0,2.0,297775.0
1,먹골역,하차,647,4004,3473,31051,66193,120194,13260.0,40992.0,16011.0,1.0,5.0,1.0,295832.0
1,면목역,승차,2671,4819,1321,189469,87073,45669,37075.0,48644.0,11499.0,9.0,22.0,3.0,428274.0
1,면목역,하차,506,3786,3979,39493,90924,177318,22047.0,58089.0,20366.0,0.0,6.0,14.0,416528.0
1,명동역,승차,1911,15172,11418,56379,297662,378129,6146.0,50981.0,17738.0,4517.0,12178.0,9409.0,861640.0
1,명동역,하차,3762,21755,5362,295081,333808,146060,29100.0,43733.0,4347.0,2565.0,17362.0,12146.0,915081.0
1,명일역,승차,2151,5894,2249,95799,53115,30247,27729.0,37071.0,8063.0,0.0,1.0,3.0,262322.0
1,명일역,하차,909,4967,4888,23809,52351,106856,16978.0,42560.0,16225.0,0.0,0.0,0.0,269543.0
1,모란역,승차,959,3315,2074,25965,28273,26842,11017.0,39529.0,6435.0,0.0,4.0,1.0,144414.0
1,모란역,하차,1107,2554,2500,16158,21079,27097,11944.0,27891.0,3468.0,1.0,3.0,0.0,113802.0
1,목동역,승차,2753,8742,8538,188587,110111,72705,31246.0,45331.0,10000.0,10.0,42.0,9.0,478074.0
1,목동역,하차,5358,9739,5711,62616,118737,222856,18783.0,48919.0,20916.0,7.0,29.0,24.0,513695.0
1,몽촌토성역,승차,782,2288,1500,50834,54657,55190,8223.0,22078.0,5214.0,7.0,28.0,19.0,200820.0
1,몽촌토성역,하차,773,2459,1242,62872,44939,58296,12523.0,17610.0,4116.0,4.0,19.0,12.0,204865.0
1,무악재역,승차,1189,2079,436,52357,25733,13763,13157.0,15552.0,2551.0,0.0,9.0,1.0,126827.0
1,무악재역,하차,188,1593,1890,10131,24022,53881,5618.0,19444.0,8451.0,3.0,10.0,1.0,125232.0
1,문래역,승차,2103,5871,2867,138620,171359,250204,21389.0,52442.0,14343.0,16.0,44.0,58.0,659316.0
1,문래역,하차,1672,5255,3677,258721,150189,169327,30962.0,44881.0,11917.0,17.0,49.0,32.0,676699.0
1,문정역,승차,1100,3899,2900,89293,204645,257454,14959.0,39251.0,10199.0,5.0,37.0,7.0,623749.0
1,문정역,하차,1770,3503,2354,351728,113637,110186,23408.0,32060.0,8752.0,8.0,23.0,2.0,647431.0
1,미사역,승차,3560,13681,10970,189010,120472,92015,30411.0,46239.0,10124.0,9.0,26.0,4.0,516521.0
1,미사역,하차,2509,16146,10584,61575,122665,224949,19848.0,46987.0,19499.0,1.0,29.0,12.0,524804.0
1,미아사거리역,승차,6983,17583,5369,266615,177698,113871,64174.0,101709.0,21395.0,11.0,25.0,11.0,775444.0
1,미아사거리역,하차,3204,12910,11913,81754,179094,291356,32607.0,116180.0,38334.0,14.0,36.0,18.0,767420.0
1,미아역,승차,2957,8926,3488,140427,99478,59422,41606.0,63627.0,13206.0,11.0,17.0,4.0,433169.0
1,미아역,하차,3846,5295,4534,61015,85639,139758,25947.0,71194.0,23476.0,3.0,14.0,18.0,420739.0
1,반포역,승차,1107,3074,1500,27846,59424,49694,7126.0,22980.0,7319.0,2.0,38.0,12.0,180122.0
1,반포역,하차,897,3163,1859,58769,43538,29334,13278.0,18733.0,3985.0,8.0,12.0,9.0,173585.0
1,발산역,승차,2368,11369,8569,86536,201438,240379,22495.0,69372.0,17890.0,48.0,96.0,43.0,660603.0
1,발산역,하차,2918,12991,7687,250026,160877,142188,33828.0,59175.0,12889.0,12.0,96.0,87.0,682774.0
1,방배역,승차,2342,8555,5752,82453,133730,132329,19957.0,44682.0,10580.0,4.0,31.0,11.0,440426.0
1,방배역,하차,3354,8859,5144,147564,109917,103129,25133.0,38529.0,10779.0,6.0,31.0,8.0,452453.0
1,방이역,승차,1315,9066,11421,49081,48420,51871,17901.0,26927.0,7242.0,0.0,5.0,6.0,223255.0
