month,역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구,평균면적당 임대료_공유오피스,평균면적당 임대료_기타,평균면적당 임대료_무인프린트,평균면적당 임대료_밀키트,평균면적당 임대료_사무실,평균면적당 임대료_식음료,평균면적당 임대료_의약업,평균면적당 임대료_패션잡화,평균면적당 임대료_편의점,평균면적당 임대료_플라워,평균면적당 임대료_화상면접,평균면적당 임대료_화장품,공실수,점포수_공유오피스,점포수_기타,점포수_무인프린트,점포수_밀키트,점포수_사무실,점포수_식음료,점포수_의약업,점포수_패션잡화,점포수_편의점,점포수_플라워,점포수_화상면접,점포수_화장품
1,대흥역,하차,2506,7632,2702,66027,64380,67574,13917.0,24674.0,6869.0,2.0,21.0,13.0,256317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65720.1740325166,159698.73333333334,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,독바위역,승차,1089,2102,525,36020,14592,5558,9229.0,9854.0,1548.0,0.0,5.0,0.0,80522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58778.01916932907,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,독바위역,하차,159,1148,1503,5739,13861,37816,4753.0,13623.0,6649.0,0.0,2.0,0.0,85253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58778.01916932907,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,동대문역,승차,1410,14079,4628,88839,308051,195763,40313.0,184767.0,41513.0,439.0,2512.0,2071.0,884385.0,0.0,0.0,0.0,0.0,0.0,168899.2105263158,0.0,155810.58731605677,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0
1,동대문역,하차,2714,15635,2594,225111,249736,129975,84815.0,156042.0,21667.0,519.0,3314.0,2936.0,895058.0,0.0,0.0,0.0,0.0,0.0,168899.2105263158,0.0,155810.58731605677,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0
1,동대입구역,승차,514,3219,2683,25194,90367,113940,5437.0,22540.0,8684.0,196.0,610.0,258.0,273642.0,0.0,24843.564356435643,0.0,0.0,9314.614465032875,29034.048297585126,0.0,0.0,70481.220657277,0.0,0.0,0.0,3,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
1,동대입구역,하차,1062,4845,1362,111817,94641,42508,16276.0,20478.0,3797.0,80.0,569.0,360.0,297795.0,0.0,24843.564356435643,0.0,0.0,9314.614465032875,29034.048297585126,0.0,0.0,70481.220657277,0.0,0.0,0.0,3,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
1,동묘앞역,승차,1062,9531,2415,77125,146607,74406,23654.0,170880.0,21076.0,372.0,798.0,232.0,528158.0,0.0,0.0,0.0,0.0,0.0,200564.97175141243,0.0,0.0,107574.83333333331,0.0,0.0,29486.558139534885,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,동묘앞역,하차,1454,10201,2071,80006,129163,100688,45655.0,154425.0,12094.0,81.0,512.0,652.0,537002.0,0.0,0.0,0.0,0.0,0.0,200564.97175141243,0.0,0.0,107574.83333333331,0.0,0.0,29486.558139534885,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,디지털미디어시티역,승차,2877,5491,1403,151003,100105,93610,23915.0,29674.0,6714.0,24.0,38.0,11.0,414865.0,0.0,36437.142857142855,0.0,0.0,0.0,45000.0,28716.950527169505,57063.21112515803,138627.36363636365,0.0,0.0,51034.42424242424,2,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0
1,디지털미디어시티역,하차,774,5095,5729,147585,83529,152509,15006.0,31862.0,13992.0,5.0,24.0,66.0,456176.0,0.0,36437.142857142855,0.0,0.0,0.0,45000.0,28716.950527169505,57063.21112515803,138627.36363636365,0.0,0.0,51034.42424242424,2,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0
1,뚝섬역,승차,1513,10583,5624,70329,222252,326691,14992.0,34093.0,10731.0,22.0,511.0,326.0,697667.0,0.0,0.0,0.0,0.0,0.0,50039.29787791459,0.0,56219.25509486999,0.0,102742.15552523876,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
1,뚝섬역,하차,3020,11692,3167,329609,214549,111948,23700.0,28071.0,8314.0,85.0,515.0,115.0,734785.0,0.0,0.0,0.0,0.0,0.0,50039.29787791459,0.0,56219.25509486999,0.0,102742.15552523876,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
1,마들역,승차,2552,5312,2400,172245,69546,26022,37974.0,46411.0,6342.0,2.0,8.0,1.0,368815.0,9190.216731686172,7106.628242074928,15303.030303030304,0.0,0.0,37777.77777777778,0.0,42264.15094339623,185368.7707641196,14139.39393939394,0.0,0.0,2,1.0,10.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
