month,역명,영업업종,월임대료,점포수,평균 면적
1,면목역,패션잡화,1727505.1666666667,6,30.00333333333333
1,면목역,편의점,10569130.0,1,36.08
1,명동역,식음료,9605672.0,1,26.0
1,명일역,기타,1067719.0,1,29.77
1,명일역,무인프린트,894900.0,1,25.05
1,명일역,패션잡화,2373300.0,1,44.27
1,명일역,편의점,3412500.0,1,30.0
1,모란역,편의점,3770665.0,1,50.0
1,목동역,식음료,4265000.0,2,24.700000000000003
1,목동역,패션잡화,3461505.5,2,26.9
1,목동역,편의점,5109000.0,1,30.0
1,목동역,화장품,2500000.0,1,23.69
1,몽촌토성역,편의점,5389832.0,1,36.0
1,문래역,식음료,2935933.333333333,3,25.61
1,문래역,화장품,2660399.0,1,28.29
1,문정역,편의점,3992468.0,1,30.0
1,미아사거리역,공실,0.0,2,12.93
1,미아사거리역,기타,2105000.0,2,25.41
1,미아사거리역,식음료,9158430.5,2,27.5
1,미아사거리역,의약업,990000.0,1,18.66
1,미아사거리역,패션잡화,3764131.1666666665,12,22.175833333333333
1,미아역,공실,0.0,2,50.24
1,미아역,편의점,2480675.0,1,31.6
1,반포역,기타,2291087.5,8,212.275
1,반포역,사무실,0.0,1,0.0
1,반포역,패션잡화,2120800.0,2,35.0
1,반포역,편의점,7854990.0,1,40.36
1,발산역,식음료,6156100.0,1,27.14
1,발산역,의약업,11030000.0,1,39.44
1,발산역,편의점,4914000.0,1,33.0
1,발산역,플라워,1500000.0,1,15.7
1,방배역,기타,740000.0,1,18.0
1,방배역,무인프린트,1266600.0,1,19.43
1,방배역,식음료,2201500.0,2,19.875
1,방배역,플라워,1700000.0,1,17.85
1,방배역,화장품,2722601.0,1,27.0
1,방이역,패션잡화,1030000.0,1,19.3
1,방이역,편의점,3978000.0,1,36.48
1,방화역,패션잡화,975000.0,1,19.65
1,방화역,편의점,2262000.0,1,30.0
1,방화역,플라워,2261169.0,1,40.53
1,보라매역,식음료,3799002.0,1,38.0
1,보라매역,패션잡화,2750000.0,1,32.0
1,보라매역,편의점,6309160.0,1,27.58
1,보라매역,화장품,1857653.0,1,39.0
1,보문역,식음료,1700000.0,1,14.1
1,보문역,패션잡화,1500000.0,1,24.0
1,보문역,편의점,5162483.0,1,35.0
1,보문역,화장품,979861.0,1,36.0
1,복정역,편의점,6487761.0,1,50.0
1,봉천역,밀키트,3034000.0,1,27.81
1,봉천역,패션잡화,1877048.0,1,17.61
1,봉화산역,기타,1357300.0,2,30.0
1,봉화산역,편의점,5003894.0,1,47.0
1,불광역,공실,0.0,2,13.03
1,불광역,기타,836900.0,2,41.025
1,불광역,무인프린트,500000.0,1,12.99
1,불광역,식음료,2605100.0,1,46.0
1,불광역,패션잡화,1052600.0,3,23.67333333333333
1,불광역,편의점,898305.0,1,30.0
1,불광역,화장품,1135946.0,1,18.81
1,사가정역,공실,0.0,3,72.0
1,사가정역,기타,1259500.0,1,26.03
1,사가정역,사무실,233500.0,1,21.9
1,사가정역,식음료,9090023.0,1,93.0
1,사가정역,패션잡화,2557133.333333333,3,58.0
1,사가정역,편의점,11204050.0,1,32.21
1,사가정역,플라워,1699500.0,1,35.13
1,사당역,공실,0.0,8,29.9275
1,사당역,기타,19639325.0,4,255.875
1,사당역,식음료,10201716.125,8,40.7125
1,사당역,의약업,5110000.0,1,30.7
1,사당역,패션잡화,9535724.933333334,15,72.27666666666667
1,사당역,플라워,2620000.0,1,15.5
1,사당역,화장품,26027971.0,1,57.72
1,산성역,편의점,4358445.0,1,30.0
1,삼각지역,사무실,1882000.0,1,258.2
1,삼각지역,식음료,1600000.0,1,46.0
1,삼각지역,패션잡화,2952000.0,1,40.0
1,삼각지역,편의점,4937353.0,1,31.8
1,상계역,공실,0.0,1,25.99
1,상계역,기타,4491016.5,2,60.75
1,상계역,식음료,2720000.0,1,23.15
1,상계역,패션잡화,2081381.0,6,36.07833333333333
1,상도역,식음료,3015091.0,1,26.0
1,상도역,패션잡화,2266228.0,1,50.0
1,상도역,편의점,21907600.0,1,112.57
1,상도역,화장품,2814300.0,1,59.2
1,상봉역,공실,0.0,2,65.5
1,상봉역,패션잡화,2998789.0,3,51.696666666666665
1,상봉역,편의점,13788060.0,1,45.48
1,상봉역,플라워,3055501.0,1,74.0
1,상수역,공실,0.0,1,33.0
1,상수역,기타,2450000.0,1,38.0
1,상수역,밀키트,919947.0,1,29.0
1,상수역,편의점,7569055.0,1,35.0
1,상수역,플라워,2900000.0,1,41.0
1,상수역,화장품,2599000.0,1,33.0
1,상왕십리역,편의점,5610000.0,1,37.0
1,상왕십리역,플라워,2516600.0,1,30.0
1,상왕십리역,화장품,2666031.0,1,30.6
1,상월곡역,편의점,3108802.0,1,38.4
1,상일동역,식음료,1201900.0,1,17.92
1,상일동역,편의점,3588000.0,1,31.46
1,새절역,식음료,3316600.0,1,43.6
1,새절역,패션잡화,3692300.0,2,28.07
1,새절역,편의점,6460036.0,1,25.0
1,서대문역,공실,0.0,3,25.930000000000003
1,서대문역,기타,514200.0,1,10.5
1,서대문역,무인프린트,412500.0,2,9.375
1,서대문역,식음료,3011000.0,1,11.88
1,서대문역,편의점,3826900.0,2,19.69
1,서대문역,플라워,833000.0,1,14.74
1,서울대입구역,식음료,6905270.5,2,21.630000000000003
1,서울대입구역,화장품,5906786.0,1,26.64
1,서울역,사무실,380100.0,1,33.0
1,서울역,패션잡화,3225582.0,1,12.0
1,서초역,공실,0.0,1,16.0
1,서초역,식음료,2711024.0,2,19.200000000000003
1,서초역,의약업,3874200.0,1,28.7
1,서초역,패션잡화,2503684.0,3,23.28
1,서초역,편의점,9932040.0,1,32.02
1,석계역,공실,0.0,6,34.666666666666664
1,석계역,기타,2554067.0,1,33.0
1,석계역,식음료,6595610.0,1,25.7
1,석계역,패션잡화,1710000.0,1,72.0
1,석계역,편의점,11771128.0,1,58.0
1,석촌역,기타,2500000.0,1,30.0
1,석촌역,편의점,7290691.0,1,38.0
1,선릉역,식음료,4893886.8,5,15.696000000000002
1,선릉역,의약업,4166600.0,1,19.48
1,선릉역,패션잡화,6389519.714285715,7,22.73
1,선릉역,플라워,6424161.0,1,18.3
1,선릉역,화장품,11892315.0,1,38.03
1,성수역,기타,1700000.0,1,32.76
1,성수역,식음료,3751350.0,2,22.05
1,성수역,패션잡화,2511000.0,1,27.0
1,성수역,플라워,2570000.0,2,19.89
1,성수역,화장품,4012522.0,1,28.4
1,성신여대입구역,식음료,3181500.0,1,16.0
1,성신여대입구역,패션잡화,2270975.0,4,22.44
1,성신여대입구역,플라워,4686896.0,1,30.8
1,송정역,공실,0.0,2,53.09
1,송정역,식음료,2414160.0,1,21.87
1,송정역,패션잡화,1124016.5,2,19.43
1,송정역,편의점,2340000.0,1,42.37
1,송파역,식음료,1510000.0,1,17.87
1,송파역,편의점,3999566.0,1,32.2
1,수락산역,공실,0.0,1,44.0
1,수락산역,기타,1458850.0,2,49.04
1,수락산역,사무실,163900.0,1,47.43
1,수락산역,패션잡화,1670000.0,1,56.48
1,수락산역,편의점,8858850.0,1,37.88
1,수서역,기타,3030800.0,1,28.28
1,수서역,식음료,6390663.5,2,33.22
1,수서역,의약업,2649500.0,1,21.0
1,수서역,패션잡화,5168156.75,4,21.3
1,수유역,식음료,9842289.5,2,17.21
1,수유역,패션잡화,3777883.3333333335,3,16.833333333333332
1,수유역,편의점,10844872.0,1,23.0
1,수유역,플라워,0.0,1,10.4
1,수진역,편의점,4036829.0,1,40.0
1,숙대입구역,공실,0.0,1,9.8
1,숙대입구역,식음료,2270000.0,1,24.7
1,숭실대입구역,공실,0.0,1,30.0
1,숭실대입구역,기타,1331754.0,1,28.0
1,숭실대입구역,식음료,3552070.0,1,22.02
1,숭실대입구역,패션잡화,1713163.5,2,39.5
1,숭실대입구역,편의점,9835540.0,1,39.29
1,숭실대입구역,화장품,1781442.0,1,35.7
1,시청역,기타,1858300.0,1,57.6
1,시청역,식음료,4145884.0,1,25.0
1,시청역,패션잡화,2528600.0,3,21.91
1,시청역,플라워,2470600.0,1,25.0
1,신금호역,패션잡화,1239900.0,1,23.5
1,신금호역,편의점,3178500.0,1,39.14
1,신길역,공실,0.0,1,20.0
1,신길역,패션잡화,7100000.0,1,10.0
1,신길역,플라워,3163803.0,1,40.0
1,신당역,공실,0.0,1,30.0
1,신당역,기타,850000.0,1,11.0
1,신당역,무인프린트,651324.0,1,26.0
1,신당역,식음료,2167400.0,2,24.46
1,신당역,패션잡화,6305665.0,2,107.57
1,신당역,편의점,5456374.0,1,40.0
1,신당역,플라워,1985000.0,1,30.0
1,신대방삼거리역,공실,0.0,2,55.0
1,신대방삼거리역,기타,1768200.0,1,42.0
1,신대방삼거리역,무인프린트,1139500.0,1,27.0
1,신대방삼거리역,밀키트,1771200.0,1,42.0
1,신대방삼거리역,패션잡화,2030199.3333333333,3,38.02
1,신대방삼거리역,편의점,13025870.0,1,51.49
1,신대방삼거리역,화장품,1762389.0,1,42.0
1,신대방역,식음료,4046100.0,1,24.9
1,신대방역,패션잡화,18396736.0,1,240.3
1,신대방역,편의점,4751700.0,1,27.8
1,신도림역,식음료,10504625.4,5,39.818
1,신도림역,의약업,3310000.0,1,22.5
