역명,영업업종,월임대료,점포수,평균 면적
수유역,편의점,10844872.0,1,23.0
수유역,플라워,1658800.0,1,10.4
수진역,편의점,4036829.0,1,40.0
숙대입구역,공실,0.0,1,9.8
숙대입구역,식음료,2270000.0,1,24.7
숭실대입구역,공실,0.0,1,37.0
숭실대입구역,기타,1348377.0,2,35.0
숭실대입구역,식음료,3552070.0,1,22.02
숭실대입구역,편의점,9835540.0,1,39.29
숭실대입구역,화장품,1781442.0,1,35.7
시청역,기타,1858300.0,1,57.6
시청역,식음료,4145884.0,1,25.0
시청역,패션잡화,2528600.0,3,21.91
시청역,플라워,2470600.0,1,25.0
신금호역,공실,0.0,1,23.5
신금호역,편의점,3178500.0,1,39.14
신길역,식음료,7560000.0,1,20.0
신길역,패션잡화,7100000.0,1,10.0
신길역,플라워,3542000.0,1,40.0
신당역,공실,0.0,3,63.68666666666667
신당역,기타,880000.0,1,11.0
신당역,무인프린트,651324.0,1,26.0
신당역,패션잡화,3616600.0,1,73.0
신당역,편의점,5456374.0,1,40.0
신당역,플라워,1985000.0,1,30.0
신대방삼거리역,공실,0.0,4,42.265
신대방삼거리역,기타,1768200.0,1,42.0
신대방삼거리역,무인프린트,1139500.0,1,27.0
신대방삼거리역,밀키트,1771200.0,1,42.0
신대방삼거리역,패션잡화,2801000.0,1,55.0
신대방삼거리역,편의점,13025870.0,1,51.49
신대방삼거리역,화장품,1762389.0,1,42.0
신대방역,공실,0.0,1,240.3
신대방역,식음료,4046100.0,1,24.9
신대방역,편의점,4751700.0,1,27.8
신도림역,식음료,10587365.4,5,39.818
신도림역,의약업,3310000.0,1,22.5
신도림역,패션잡화,4988166.0,1,27.4
신도림역,편의점,8613177.0,2,23.03
신도림역,플라워,5636112.0,2,42.7
신도림역,화장품,6022805.0,1,24.13
신림역,식음료,7759161.5,2,14.0
신림역,의약업,12100000.0,1,16.0
신림역,패션잡화,5115000.0,1,14.0
신림역,플라워,4550000.0,1,8.0
신사역,기타,5340000.0,2,35.55
신사역,식음료,4700165.25,4,20.3275
신사역,의약업,2533400.0,1,23.7
신사역,패션잡화,4335540.333333333,6,25.248333333333335
신사역,플라워,1520000.0,1,17.36
신용산역,기타,1186900.0,2,19.630000000000003
신용산역,무인프린트,1227408.0,1,11.4
신용산역,식음료,2525000.0,2,17.375
신용산역,패션잡화,1328643.5,2,23.05
신용산역,플라워,786350.0,2,16.5
신정네거리역,밀키트,1622575.0,1,42.45
신정역,공실,0.0,1,42.71
신정역,편의점,2457000.0,1,24.0
신촌역,공실,0.0,2,21.625
신촌역,식음료,7963584.5,2,15.6
신촌역,의약업,6783300.0,1,21.0
신촌역,패션잡화,4407400.0,1,9.8
신촌역,편의점,15722963.0,1,44.42
신촌역,화장품,17632662.0,1,33.0
신풍역,공실,0.0,5,41.4
신풍역,기타,807760.0,1,30.0
신풍역,패션잡화,2020000.0,1,30.0
신풍역,편의점,8322600.0,1,32.82
신흥역,편의점,4391715.0,1,40.0
쌍문역,편의점,2643669.0,1,20.2
아차산역,공실,0.0,1,44.22
아차산역,식음료,3182079.0,1,19.6
아차산역,패션잡화,3053705.0,3,33.06
아차산역,편의점,4660500.0,1,28.72
아현역,밀키트,1124425.0,1,25.0
아현역,식음료,460000.0,1,22.58
아현역,패션잡화,1951902.0,1,34.8
아현역,플라워,1028675.0,1,24.05
아현역,화장품,2353016.0,1,35.2
안국역,기타,528700.0,4,21.9725
안국역,무인프린트,668300.0,2,23.8
안국역,의약업,2066900.0,1,26.31
안국역,패션잡화,2516750.0,2,23.185000000000002
안국역,플라워,1037900.0,2,23.8
안암역,공실,0.0,1,62.0
안암역,기타,1296600.0,1,27.0
안암역,식음료,1850000.0,1,17.0
안암역,편의점,10717338.0,1,42.2
안암역,화장품,2417302.0,1,40.99
암사역,기타,1679611.3333333333,3,35.666666666666664
암사역,패션잡화,2150000.0,1,27.37
암사역,편의점,10014441.0,1,35.0
압구정역,기타,0.0,1,37.0
압구정역,식음료,2543548.0,2,19.15
압구정역,플라워,2611408.0,1,18.62
압구정역,화장품,7195687.0,1,23.76
애오개역,편의점,3159000.0,1,32.2
약수역,식음료,3260820.0,1,11.57
약수역,편의점,7685502.0,1,77.0
약수역,화장품,3780596.0,1,22.32
양재역,공실,0.0,1,51.92
양재역,기타,4110000.0,1,40.0
양재역,식음료,4866457.0,1,20.0
양재역,패션잡화,5668098.75,4,34.515
