month,역명,평균면적당 임대료_공유오피스,평균면적당 임대료_기타,평균면적당 임대료_무인프린트,평균면적당 임대료_밀키트,평균면적당 임대료_사무실,평균면적당 임대료_식음료,평균면적당 임대료_의약업,평균면적당 임대료_패션잡화,평균면적당 임대료_편의점,평균면적당 임대료_플라워,평균면적당 임대료_화상면접,평균면적당 임대료_화장품,공실수,점포수_공유오피스,점포수_기타,점포수_무인프린트,점포수_밀키트,점포수_사무실,점포수_식음료,점포수_의약업,점포수_패션잡화,점포수_편의점,점포수_플라워,점포수_화상면접,점포수_화장품
2,노원역,0.0,69416.20731707317,0.0,0.0,15865.689865689865,61838.35400793401,0.0,51604.499103253904,358679.7824116047,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,2.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0
2,논현역,0.0,77777.77777777778,0.0,0.0,0.0,102200.95758151314,63774.375,99125.92592592593,298266.29339305713,0.0,0.0,90305.08695652174,1,0.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0
2,단대오거리역,0.0,46220.77215878195,0.0,0.0,0.0,0.0,0.0,50339.59248901318,191860.27692307692,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,당고개역,0.0,82866.37931034483,0.0,61843.98429132452,0.0,31328.614211815955,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,당산역,0.0,0.0,0.0,0.0,0.0,145355.44245608276,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,대림역,0.0,743469.5244474213,0.0,0.0,0.0,414239.2668842581,0.0,233158.83116439526,394348.98000403953,111088.6656130052,0.0,186264.22802850357,1,0.0,1.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,2.0,0.0,1.0
2,대청역,0.0,0.0,0.0,0.0,0.0,94573.46862081924,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,대흥역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65720.1740325166,159698.73333333334,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,독바위역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58778.01916932907,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,동대문역,0.0,0.0,0.0,0.0,0.0,175363.56799037303,0.0,151835.57878052405,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0
2,동대입구역,0.0,24843.564356435643,0.0,0.0,9314.614465032875,29034.048297585126,0.0,0.0,70481.220657277,0.0,0.0,0.0,3,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
