역명,month,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,meanshift_label
동묘앞역,3,2140,12462,3407,0
동묘앞역,3,5225,12103,2445,0
디지털미디어시티역,3,5517,4614,2543,0
디지털미디어시티역,3,1065,7214,7405,0
마들역,3,3945,6858,2703,0
마들역,3,2865,5140,4107,0
마포구청역,3,4934,4094,3288,0
마포구청역,3,1022,6020,4350,0
면목역,3,5102,8072,2063,0
면목역,3,4164,5906,4746,0
미아사거리역,3,10334,20210,6145,26
미아사거리역,3,6211,14726,13417,1
미아역,3,4608,15513,7194,0
미아역,3,11908,7694,5211,21
봉화산역,3,3440,3056,1007,0
봉화산역,3,510,3873,3608,0
불광역,3,4149,7206,3417,0
불광역,3,2711,7500,5853,0
사가정역,3,4850,6067,2547,0
사가정역,3,2241,6403,5186,0
사당역,3,12145,22064,14254,26
사당역,3,7857,21614,22654,1
상계역,3,7791,16253,8559,0
상계역,3,9131,12303,9290,26
상봉역,3,3994,5633,3446,0
상봉역,3,1223,6022,5977,0
상수역,3,1584,6056,6947,0
상수역,3,3252,8575,4608,0
서대문역,3,1929,14390,4495,0
서대문역,3,8743,5430,3125,0
서초역,3,3055,11623,3122,0
서초역,3,4674,5332,3391,0
석계역,3,4306,7431,2830,0
석계역,3,3115,6077,5370,0
성수역,3,2608,12619,11881,0
성수역,3,3311,20468,5692,0
송정역,3,2236,2476,1033,0
송정역,3,767,2392,2739,0
수락산역,3,4022,5099,1655,0
수락산역,3,858,4153,4731,0
숙대입구역,3,2312,13774,5746,0
숙대입구역,3,9115,6728,3603,0
숭실대입구역,3,4348,12790,6547,0
숭실대입구역,3,8825,9882,5908,0
신금호역,3,2578,7295,1401,0
신금호역,3,4781,4136,3121,0
신당역,3,4381,12942,5307,0
신당역,3,9101,8590,5098,0
신대방삼거리역,3,3488,6594,3664,0
신대방삼거리역,3,2617,5110,4475,0
신림역,3,8790,17107,10215,26
신림역,3,4883,16722,14488,1
신용산역,3,1326,5484,3785,0
신용산역,3,2396,6824,2552,0
신정역,3,4533,6688,2407,0
신정역,3,3717,4904,4946,0
신촌역,3,2860,16177,19145,1
신촌역,3,7902,18938,10982,1
신풍역,3,2947,4496,1380,0
신풍역,3,1706,3418,3078,0
아차산역,3,5342,20865,6971,0
아차산역,3,10885,10076,6136,26
압구정역,3,1814,13372,11751,0
압구정역,3,5946,15967,5805,0
어린이대공원역,3,2866,15387,8749,0
어린이대공원역,3,11876,13510,3473,26
여의도역,3,1345,6163,4734,0
여의도역,3,2212,7451,2862,0
역촌역,3,894,1164,457,0
역촌역,3,164,1406,1482,0
영등포구청역,3,2952,5909,3817,0
영등포구청역,3,3416,6168,4403,0
오목교역,3,4741,13090,14134,1
오목교역,3,4678,21401,10333,1
왕십리역,3,3482,16593,9488,0
왕십리역,3,7160,11905,7731,0
용마산역,3,2578,2425,1029,0
용마산역,3,803,3107,2555,0
월곡역,3,5102,8407,2429,0
월곡역,3,3174,7758,4939,0
을지로3가역,3,2135,7096,4636,0
을지로3가역,3,1817,6400,3599,0
을지로4가역,3,962,4302,2486,0
을지로4가역,3,2505,3274,1755,0
을지로입구역,3,2259,10796,6478,0
을지로입구역,3,2421,9818,6012,0
이수역,3,2050,4751,3909,0
이수역,3,1458,5792,3705,0
일원역,3,5001,13776,2992,0
일원역,3,6193,5665,8024,0
잠실새내역,3,12862,13985,8696,26
잠실새내역,3,3688,19780,12259,1
장지역,3,4295,9742,4852,0
장지역,3,3771,7076,5103,0
종각역,3,744,7664,7259,0
종각역,3,2899,8847,2603,0
종로3가역,3,1324,9258,7128,0
종로3가역,3,2566,10736,3324,0
종합운동장역,3,2001,16879,9054,0
종합운동장역,3,10932,16357,5019,26
중계역,3,5081,10846,3372,0
중계역,3,6774,6315,5265,0
중화역,3,3188,5025,2127,0
중화역,3,2349,4436,4334,0
증산역,3,3344,3820,1467,0
증산역,3,1076,4095,4358,0
창동역,3,8574,13554,6577,0
창동역,3,3677,12855,12060,0
청담역,3,1258,4696,3819,0
청담역,3,3287,5438,2106,0
총신대입구역,3,3149,7034,4166,0
총신대입구역,3,2490,7171,5077,0
충무로역,3,2402,10407,9899,0
충무로역,3,6809,9995,4843,0
충정로역,3,1982,5712,1658,0
충정로역,3,3659,3394,2942,0
태릉입구역,3,3709,8247,3965,0
태릉입구역,3,3592,7471,5966,0
학동역,3,1201,4913,4434,0
학동역,3,3047,5355,2118,0
한양대역,3,1088,19504,5598,0
한양대역,3,18915,9576,2349,21
합정역,3,6246,17923,18280,1
합정역,3,4563,26508,14051,5
행당역,3,4260,4202,1653,0
행당역,3,923,5025,3341,0
홍제역,3,6965,8418,3177,0
홍제역,3,2338,9013,7244,0
회현역,3,794,5871,3318,0
회현역,3,1561,7618,1527,0
효창공원앞역,3,1428,4046,1240,0
효창공원앞역,3,2510,2790,1900,0
강남구청역,4,1099,3438,2711,0
강남구청역,4,2090,3977,1886,0
강남역,4,4235,22059,28441,2
강남역,4,12714,24996,15379,9
강동구청역,4,2978,4292,1363,0
강동구청역,4,1370,3883,3209,0
강동역,4,4099,4007,1925,0
강동역,4,1376,5385,4288,0
건대입구역,4,6999,20704,24621,1
건대입구역,4,7220,28351,20310,1
공덕역,4,4461,12262,5070,0
공덕역,4,8586,7970,5501,0
광명사거리역,4,5397,7886,3440,0
광명사거리역,4,2404,6398,6700,0
광흥창역,4,3557,4308,1797,0
광흥창역,4,2030,4363,3393,0
교대역,4,4669,13018,12298,0
교대역,4,9264,13167,8569,26
군자역,4,5655,5611,4072,0
군자역,4,1456,7860,5503,0
굽은다리역,4,2766,3703,2566,0
굽은다리역,4,976,4743,3513,0
낙성대역,4,5159,12064,5625,0
낙성대역,4,6787,6718,7272,0
남구로역,4,3185,2432,1281,0
남구로역,4,890,3342,2334,0
노원역,4,14591,33497,32044,3
노원역,4,18927,44858,24725,20
논현역,4,762,2497,4386,0
논현역,4,1338,4353,2790,0
단대오거리역,4,6138,7315,3172,0
단대오거리역,4,1948,6788,5395,0
당산역,4,3479,6346,2888,0
당산역,4,4181,5647,5015,0
대림역,4,7732,7267,3323,0
대림역,4,2099,9472,6903,0
대청역,4,5708,11876,3480,0
대청역,4,6480,5659,6888,0
대흥역,4,2059,10023,7204,0
대흥역,4,8248,8097,3094,0
독바위역,4,1917,1746,554,0
독바위역,4,274,1678,1616,0
동대문역,4,2842,9990,4285,0
동대문역,4,2773,11474,3018,0
동대입구역,4,1154,5585,2694,0
동대입구역,4,4585,5520,1466,0
동묘앞역,4,2030,13090,4023,0
동묘앞역,4,5367,13494,2393,0
마들역,4,4086,6141,2542,0
마들역,4,2847,4813,3791,0
마포구청역,4,5028,3972,2496,0
마포구청역,4,1201,5968,3995,0
면목역,4,4836,7072,1954,0
면목역,4,3599,5516,4391,0
미아사거리역,4,10283,19020,5134,26
미아사거리역,4,6636,13030,11858,0
미아역,4,4684,13420,7691,0
미아역,4,10996,7508,4827,21
봉화산역,4,3443,2512,890,0
봉화산역,4,515,3368,3179,0
불광역,4,4216,6362,3022,0
불광역,4,2579,7043,5459,0
사가정역,4,4805,5021,2145,0
