역명,month,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,kmeans_label
노원역,3,95696.0,191555.0,50713.0,1
노원역,3,89184.0,193495.0,59597.0,1
논현역,3,9705.0,26914.0,9961.0,0
논현역,3,18516.0,21160.0,5897.0,0
단대오거리역,3,35487.0,37291.0,7125.0,0
단대오거리역,3,15199.0,45461.0,17450.0,0
당산역,3,18155.0,34579.0,11114.0,0
당산역,3,19466.0,36844.0,12815.0,0
대림역,3,64198.0,99058.0,25267.0,1
대림역,3,49985.0,109725.0,34093.0,1
대청역,3,24133.0,34011.0,7746.0,0
대청역,3,15023.0,33821.0,15256.0,0
대흥역,3,14107.0,27495.0,8649.0,0
대흥역,3,16071.0,26681.0,8031.0,0
독바위역,3,10197.0,10608.0,1812.0,0
독바위역,3,6269.0,14229.0,7352.0,0
동대문역,3,45530.0,212254.0,48812.0,1
동대문역,3,98322.0,179891.0,24448.0,1
동대입구역,3,6013.0,28620.0,10756.0,0
동대입구역,3,19080.0,26260.0,4041.0,0
동묘앞역,3,27489.0,204437.0,29613.0,1
동묘앞역,3,58975.0,183390.0,14579.0,1
디지털미디어시티역,3,26243.0,31080.0,7306.0,0
디지털미디어시티역,3,15489.0,34431.0,15314.0,0
마들역,3,41576.0,48503.0,7085.0,0
마들역,3,17942.0,54009.0,22910.0,0
마포구청역,3,33346.0,42096.0,9798.0,0
마포구청역,3,18958.0,42686.0,16003.0,0
면목역,3,40987.0,51141.0,12782.0,0
면목역,3,23609.0,61673.0,22362.0,0
미아사거리역,3,69821.0,106606.0,24264.0,1
미아사거리역,3,35896.0,121511.0,42596.0,1
미아역,3,45880.0,66526.0,13987.0,0
미아역,3,29440.0,73562.0,25021.0,0
봉화산역,3,22169.0,27513.0,4684.0,0
봉화산역,3,10548.0,30227.0,12827.0,0
불광역,3,53580.0,116936.0,26454.0,1
불광역,3,42388.0,127908.0,34437.0,1
사가정역,3,42625.0,52915.0,13804.0,0
사가정역,3,21988.0,63681.0,24287.0,0
사당역,3,78468.0,195576.0,72601.0,1
사당역,3,77247.0,211100.0,52033.0,1
상계역,3,54020.0,66485.0,13771.0,0
상계역,3,26492.0,70834.0,33026.0,0
상봉역,3,23951.0,40816.0,15678.0,0
상봉역,3,19141.0,44048.0,14318.0,0
상수역,3,7670.0,12284.0,3119.0,0
상수역,3,6762.0,12386.0,4172.0,0
서대문역,3,16854.0,47592.0,11198.0,0
서대문역,3,26872.0,36362.0,8099.0,0
서초역,3,18460.0,66196.0,14006.0,0
서초역,3,43685.0,46624.0,7707.0,0
석계역,3,35996.0,39929.0,9127.0,0
석계역,3,15377.0,50267.0,20360.0,0
성수역,3,26600.0,60085.0,20543.0,0
성수역,3,45937.0,49247.0,13726.0,0
송정역,3,18909.0,28285.0,7115.0,0
송정역,3,12456.0,29416.0,9867.0,0
수락산역,3,36993.0,60105.0,12386.0,0
수락산역,3,27120.0,61955.0,22040.0,0
숙대입구역,3,17849.0,32107.0,9567.0,0
숙대입구역,3,15462.0,29853.0,10171.0,0
숭실대입구역,3,31804.0,32525.0,5650.0,0
숭실대입구역,3,11846.0,41977.0,18868.0,0
신금호역,3,16090.0,20788.0,5256.0,0
신금호역,3,9925.0,27684.0,10454.0,0
신당역,3,29303.0,82672.0,26583.0,0
신당역,3,43941.0,76650.0,18224.0,0
신대방삼거리역,3,37967.0,50631.0,9498.0,0
신대방삼거리역,3,21396.0,58301.0,20680.0,0
신림역,3,77521.0,105571.0,29476.0,1
신림역,3,42011.0,120611.0,46778.0,1
신용산역,3,11392.0,36232.0,12939.0,0
신용산역,3,19295.0,33575.0,8158.0,0
신정역,3,34223.0,28391.0,5834.0,0
신정역,3,11465.0,36638.0,18484.0,0
신촌역,3,25099.0,82360.0,19760.0,0
신촌역,3,40875.0,69788.0,14423.0,0
신풍역,3,31388.0,39670.0,8637.0,0
신풍역,3,18178.0,42283.0,17234.0,0
아차산역,3,39498.0,61013.0,14530.0,0
아차산역,3,25206.0,63142.0,23223.0,0
압구정역,3,28847.0,93264.0,27106.0,0
압구정역,3,57963.0,73964.0,15895.0,0
어린이대공원역,3,12368.0,28378.0,6503.0,0
어린이대공원역,3,16137.0,24373.0,6880.0,0
여의도역,3,9752.0,38284.0,10352.0,0
여의도역,3,23245.0,27688.0,5298.0,0
역촌역,3,13668.0,18339.0,3344.0,0
역촌역,3,7337.0,20331.0,7515.0,0
영등포구청역,3,30381.0,75159.0,23848.0,0
영등포구청역,3,42176.0,68897.0,16473.0,0
오목교역,3,25177.0,55331.0,16800.0,0
오목교역,3,26068.0,54001.0,16448.0,0
왕십리역,3,19771.0,47288.0,15697.0,0
왕십리역,3,22621.0,44435.0,11029.0,0
용마산역,3,17401.0,17051.0,3291.0,0
용마산역,3,8861.0,21736.0,10390.0,0
월곡역,3,29235.0,37669.0,7831.0,0
월곡역,3,14934.0,43437.0,15519.0,0
을지로3가역,3,13190.0,83645.0,32443.0,0
을지로3가역,3,57926.0,61724.0,6386.0,0
을지로4가역,3,12055.0,82411.0,29619.0,0
을지로4가역,3,55177.0,63478.0,4898.0,0
을지로입구역,3,8320.0,71841.0,26170.0,0
을지로입구역,3,36923.0,56873.0,5541.0,0
이수역,3,22084.0,49309.0,15289.0,0
이수역,3,21759.0,46889.0,13253.0,0
일원역,3,21717.0,43019.0,6728.0,0
일원역,3,23064.0,36494.0,11694.0,0
잠실새내역,3,36915.0,65163.0,17559.0,0
잠실새내역,3,25752.0,70680.0,22530.0,0
장지역,3,29366.0,50270.0,13255.0,0
장지역,3,21003.0,50169.0,16758.0,0
종각역,3,13666.0,103984.0,34852.0,0
종각역,3,55588.0,78812.0,8287.0,0
종로3가역,3,36528.0,323106.0,122157.0,1
종로3가역,3,121963.0,324509.0,24968.0,1
종합운동장역,3,14287.0,30506.0,7795.0,0
종합운동장역,3,19946.0,26767.0,7977.0,0
중계역,3,40669.0,53798.0,9010.0,0
중계역,3,28357.0,49963.0,22127.0,0
중화역,3,28198.0,34534.0,8529.0,0
중화역,3,15944.0,38963.0,16109.0,0
증산역,3,34764.0,36487.0,6483.0,0
증산역,3,12796.0,46069.0,20122.0,0
창동역,3,72131.0,133092.0,34438.0,1
창동역,3,55503.0,147022.0,43671.0,1
청담역,3,18956.0,47905.0,15290.0,0
청담역,3,38067.0,31965.0,9603.0,0
총신대입구역,3,45930.0,95830.0,25674.0,0
총신대입구역,3,34973.0,107960.0,30407.0,1
충무로역,3,14546.0,75586.0,35194.0,0
충무로역,3,54072.0,63698.0,9303.0,0
충정로역,3,20188.0,35814.0,9021.0,0
충정로역,3,21042.0,32843.0,12111.0,0
